customer_id,generation_persona,preferred_category
C00075,Normal,Shopping
C00076,Dormant,Dining
C00077,Dormant,Entertainment
C00078,Engaged,Shopping
C00079,Normal,Travel
C00080,Engaged,Shopping
C00081,Normal,Shopping
C00082,Normal,Healthcare
C00083,Engaged,Entertainment
C00084,Engaged,Shopping
C00085,Normal,Shopping
C00086,Engaged,Grocery
C00087,Dormant,Fuel
C00088,Normal,Healthcare
C00089,Normal,Shopping
C00090,Dormant,Shopping
C00091,Normal,Dining
C00092,Normal,Healthcare
C00093,Dormant,Entertainment
C00094,Engaged,Travel
C00095,Engaged,Travel
C00096,Normal,Shopping
C00097,Normal,Healthcare
C00098,Normal,Dining
C00099,Engaged,Travel
C00100,Normal,Grocery
C00101,Normal,Entertainment
C00102,Dormant,Lifestyle
C00103,Engaged,Electronics
C00104,Engaged,Grocery
C00105,Dormant,Shopping
C00106,Normal,Grocery
C00107,Engaged,Grocery
C00108,Engaged,Fuel
C00109,Normal,Shopping
C00110,Normal,Lifestyle
C00111,Normal,Entertainment
C00112,Dormant,Entertainment
C00113,Engaged,Healthcare
C00114,Engaged,Fuel
C00115,Normal,Travel
C00116,Dormant,Lifestyle
C00117,Normal,Healthcare
C00118,Normal,Shopping
C00119,Engaged,Lifestyle
C00120,Engaged,Shopping
C00121,Dormant,Electronics
C00122,Engaged,Dining
C00123,Engaged,Electronics
C00124,Normal,Travel
C00125,Normal,Fuel
C00126,Normal,Healthcare
C00127,Normal,Travel
C00128,Engaged,Entertainment
C00129,Normal,Lifestyle
C00130,Normal,Lifestyle
C00131,Engaged,Shopping
C00132,Normal,Dining
C00133,Normal,Fuel
C00134,Dormant,Grocery
C00135,Dormant,Shopping
C00136,Dormant,Electronics
C00137,Normal,Lifestyle
C00138,Engaged,Grocery
C00139,Dormant,Grocery
C00140,Normal,Entertainment
C00141,Normal,Travel
C00142,Dormant,Grocery
C00143,Normal,Lifestyle
C00144,Engaged,Electronics
C00145,Normal,Electronics
C00146,Normal,Healthcare
C00147,Normal,Shopping
C00148,Normal,Shopping
C00149,Normal,Lifestyle
C00150,Normal,Entertainment
C00151,Engaged,Electronics
C00152,Normal,Grocery
C00153,Normal,Travel
C00154,Dormant,Fuel
C00155,Engaged,Fuel
C00156,Dormant,Travel
C00157,Normal,Healthcare
C00158,Normal,Lifestyle
C00159,Normal,Lifestyle
C00160,Engaged,Travel
C00161,Normal,Entertainment
C00162,Normal,Fuel
C00163,Normal,Dining
C00164,Dormant,Grocery
C00165,Engaged,Healthcare
C00166,Dormant,Dining
C00167,Normal,Grocery
C00168,Dormant,Dining
C00169,Normal,Healthcare
C00170,Normal,Dining
C00171,Normal,Shopping
C00172,Dormant,Travel
C00173,Engaged,Shopping
C00174,Engaged,Shopping
C00175,Dormant,Entertainment
C00176,Engaged,Healthcare
C00177,Normal,Lifestyle
C00178,Engaged,Shopping
C00179,Engaged,Lifestyle
C00180,Normal,Shopping
C00181,Normal,Travel
C00182,Normal,Grocery
C00183,Normal,Electronics
C00184,Normal,Fuel
C00185,Dormant,Grocery
C00186,Normal,Shopping
C00187,Normal,Travel
C00188,Normal,Shopping
C00189,Normal,Shopping
C00190,Normal,Shopping
C00191,Normal,Lifestyle
C00192,Normal,Shopping
C00193,Normal,Grocery
C00194,Dormant,Dining
C00195,Normal,Fuel
C00196,Normal,Healthcare
C00197,Normal,Lifestyle
C00198,Normal,Lifestyle
C00199,Normal,Dining
C00200,Dormant,Healthcare
C00201,Normal,Fuel
C00202,Engaged,Dining
C00203,Engaged,Dining
C00204,Normal,Electronics
C00205,Dormant,Grocery
C00206,Normal,Grocery
C00207,Normal,Healthcare
C00208,Normal,Dining
C00209,Dormant,Dining
C00210,Dormant,Lifestyle
C00211,Engaged,Grocery
C00212,Normal,Electronics
C00213,Normal,Entertainment
C00214,Normal,Travel
C00215,Normal,Entertainment
C00216,Normal,Lifestyle
C00217,Normal,Travel
C00218,Engaged,Travel
C00219,Engaged,Shopping
C00220,Normal,Entertainment
C00221,Engaged,Grocery
C00222,Normal,Travel
C00223,Dormant,Lifestyle
C00224,Dormant,Travel
C00225,Engaged,Travel
C00226,Engaged,Lifestyle
C00227,Normal,Shopping
C00228,Normal,Grocery
C00229,Engaged,Shopping
C00230,Dormant,Fuel
C00231,Engaged,Entertainment
C00232,Engaged,Electronics
C00233,Normal,Dining
C00234,Normal,Healthcare
C00235,Normal,Travel
C00236,Normal,Lifestyle
C00237,Dormant,Lifestyle
C00238,Engaged,Lifestyle
C00239,Normal,Grocery
C00240,Engaged,Lifestyle
C00241,Normal,Healthcare
C00242,Normal,Grocery
C00243,Normal,Lifestyle
C00244,Engaged,Shopping
C00245,Dormant,Healthcare
C00246,Normal,Lifestyle
C00247,Dormant,Grocery
C00248,Normal,Travel
C00249,Dormant,Travel
C00250,Normal,Travel
C00251,Normal,Entertainment
C00252,Normal,Shopping
C00253,Normal,Healthcare
C00254,Normal,Fuel
C00255,Normal,Travel
C00256,Normal,Grocery
C00257,Normal,Travel
C00258,Normal,Lifestyle
C00259,Normal,Dining
C00260,Normal,Entertainment
C00261,Normal,Lifestyle
C00262,Normal,Entertainment
C00263,Dormant,Healthcare
C00264,Normal,Shopping
C00265,Engaged,Electronics
C00266,Engaged,Electronics
C00267,Normal,Entertainment
C00268,Normal,Dining
C00269,Normal,Lifestyle
C00270,Engaged,Dining
C00271,Dormant,Shopping
C00272,Normal,Grocery
C00273,Normal,Electronics
C00274,Engaged,Entertainment
C00275,Engaged,Shopping
C00276,Engaged,Shopping
C00277,Normal,Lifestyle
C00278,Normal,Shopping
C00279,Engaged,Healthcare
C00280,Normal,Dining
C00281,Engaged,Grocery
C00282,Normal,Electronics
C00283,Engaged,Electronics
C00284,Engaged,Shopping
C00285,Engaged,Electronics
C00286,Normal,Entertainment
C00287,Dormant,Grocery
C00288,Normal,Lifestyle
C00289,Engaged,Electronics
C00290,Dormant,Electronics
C00291,Dormant,Lifestyle
C00292,Normal,Travel
C00293,Engaged,Grocery
C00294,Normal,Grocery
C00295,Dormant,Electronics
C00296,Normal,Travel
C00297,Normal,Electronics
C00298,Normal,Travel
C00299,Dormant,Shopping
C00300,Engaged,Electronics
C00301,Engaged,Fuel
C00302,Dormant,Travel
C00303,Engaged,Electronics
C00304,Normal,Fuel
C00305,Normal,Healthcare
C00306,Engaged,Lifestyle
C00307,Engaged,Shopping
C00308,Normal,Electronics
C00309,Normal,Fuel
C00310,Normal,Lifestyle
C00311,Normal,Fuel
C00312,Dormant,Healthcare
C00313,Normal,Healthcare
C00314,Dormant,Fuel
C00315,Normal,Healthcare
C00316,Engaged,Grocery
C00317,Normal,Electronics
C00318,Dormant,Shopping
C00319,Engaged,Fuel
C00320,Normal,Electronics
C00321,Normal,Dining
C00322,Engaged,Shopping
C00323,Normal,Travel
C00324,Engaged,Dining
C00325,Engaged,Dining
C00326,Dormant,Dining
C00327,Normal,Lifestyle
C00328,Normal,Electronics
C00329,Normal,Lifestyle
C00330,Dormant,Dining
C00331,Normal,Lifestyle
C00332,Normal,Grocery
C00333,Normal,Healthcare
C00334,Normal,Healthcare
C00335,Normal,Fuel
C00336,Normal,Electronics
C00337,Normal,Grocery
C00338,Engaged,Shopping
C00339,Dormant,Entertainment
C00340,Dormant,Travel
C00341,Normal,Travel
C00342,Normal,Lifestyle
C00343,Normal,Electronics
C00344,Normal,Grocery
C00345,Normal,Electronics
C00346,Normal,Shopping
C00347,Engaged,Fuel
C00348,Engaged,Lifestyle
C00349,Normal,Lifestyle
C00350,Normal,Travel
C00351,Engaged,Healthcare
C00352,Engaged,Shopping
C00353,Normal,Electronics
C00354,Normal,Dining
C00355,Normal,Entertainment
C00356,Normal,Travel
C00357,Dormant,Healthcare
C00358,Normal,Shopping
C00359,Dormant,Fuel
C00360,Engaged,Electronics
C00361,Normal,Lifestyle
C00362,Engaged,Shopping
C00363,Engaged,Electronics
C00364,Engaged,Electronics
C00365,Engaged,Entertainment
C00366,Dormant,Healthcare
C00367,Normal,Travel
C00368,Dormant,Healthcare
C00369,Normal,Shopping
C00370,Normal,Dining
C00371,Engaged,Lifestyle
C00372,Normal,Electronics
C00373,Normal,Healthcare
C00374,Dormant,Travel
C00375,Dormant,Electronics
C00376,Engaged,Electronics
C00377,Normal,Lifestyle
C00378,Normal,Shopping
C00379,Normal,Lifestyle
C00380,Engaged,Electronics
C00381,Normal,Fuel
C00382,Normal,Travel
C00383,Normal,Lifestyle
C00384,Normal,Grocery
C00385,Engaged,Travel
C00386,Dormant,Travel
C00387,Engaged,Healthcare
C00388,Engaged,Travel
C00389,Normal,Travel
C00390,Dormant,Grocery
C00391,Normal,Healthcare
C00392,Engaged,Shopping
C00393,Engaged,Grocery
C00394,Normal,Electronics
C00395,Normal,Grocery
C00396,Engaged,Electronics
C00397,Dormant,Fuel
C00398,Engaged,Grocery
C00399,Normal,Dining
C00400,Engaged,Electronics
C00401,Normal,Healthcare
C00402,Normal,Healthcare
C00403,Normal,Dining
C00404,Normal,Lifestyle
C00405,Dormant,Shopping
C00406,Dormant,Dining
C00407,Normal,Entertainment
C00408,Normal,Grocery
C00409,Dormant,Shopping
C00410,Engaged,Electronics
C00411,Engaged,Entertainment
C00412,Engaged,Travel
C00413,Dormant,Grocery
C00414,Engaged,Fuel
C00415,Normal,Travel
C00416,Normal,Fuel
C00417,Engaged,Lifestyle
C00418,Normal,Grocery
C00419,Normal,Fuel
C00420,Engaged,Shopping
C00421,Dormant,Healthcare
C00422,Engaged,Grocery
C00423,Dormant,Electronics
C00424,Normal,Grocery
C00425,Engaged,Lifestyle
C00426,Engaged,Grocery
C00427,Normal,Shopping
C00428,Normal,Fuel
C00429,Engaged,Dining
C00430,Dormant,Electronics
C00431,Normal,Lifestyle
C00432,Dormant,Grocery
C00433,Engaged,Entertainment
C00434,Engaged,Travel
C00435,Normal,Grocery
C00436,Normal,Travel
C00437,Engaged,Grocery
C00438,Engaged,Fuel
C00439,Engaged,Healthcare
C00440,Normal,Lifestyle
C00441,Normal,Fuel
C00442,Dormant,Fuel
C00443,Engaged,Lifestyle
C00444,Normal,Dining
C00445,Normal,Entertainment
C00446,Normal,Travel
C00447,Dormant,Shopping
C00448,Dormant,Dining
C00449,Engaged,Travel
C00450,Normal,Shopping
C00451,Dormant,Dining
C00452,Engaged,Healthcare
C00453,Normal,Grocery
C00454,Normal,Entertainment
C00455,Normal,Entertainment
C00456,Normal,Healthcare
C00457,Normal,Healthcare
C00458,Dormant,Dining
C00459,Normal,Electronics
C00460,Dormant,Entertainment
C00461,Normal,Healthcare
C00462,Normal,Healthcare
C00463,Normal,Electronics
C00464,Normal,Electronics
C00465,Dormant,Travel
C00466,Engaged,Healthcare
C00467,Dormant,Electronics
C00468,Normal,Fuel
C00469,Normal,Fuel
C00470,Normal,Entertainment
C00471,Normal,Shopping
C00472,Normal,Electronics
C00473,Normal,Shopping
C00474,Engaged,Travel
C00475,Normal,Shopping
C00476,Normal,Healthcare
C00477,Normal,Healthcare
C00478,Normal,Fuel
C00479,Engaged,Healthcare
C00480,Normal,Dining
C00481,Normal,Lifestyle
C00482,Normal,Electronics
C00483,Normal,Dining
C00484,Normal,Electronics
C00485,Normal,Entertainment
C00486,Engaged,Healthcare
C00487,Engaged,Fuel
C00488,Normal,Lifestyle
C00489,Engaged,Healthcare
C00490,Engaged,Fuel
C00491,Engaged,Shopping
C00492,Normal,Grocery
C00493,Dormant,Fuel
C00494,Engaged,Lifestyle
C00495,Normal,Travel
C00496,Dormant,Fuel
C00497,Dormant,Entertainment
C00498,Engaged,Entertainment
C00499,Dormant,Dining
C00500,Engaged,Lifestyle
C00501,Normal,Fuel
C00502,Engaged,Dining
C00503,Normal,Entertainment
C00504,Engaged,Lifestyle
C00505,Normal,Dining
C00506,Engaged,Entertainment
C00507,Normal,Lifestyle
C00508,Normal,Lifestyle
C00509,Engaged,Travel
C00510,Dormant,Grocery
C00511,Normal,Healthcare
C00512,Engaged,Electronics
C00513,Engaged,Grocery
C00514,Normal,Electronics
C00515,Engaged,Entertainment
C00516,Normal,Dining
C00517,Normal,Grocery
C00518,Normal,Grocery
C00519,Normal,Healthcare
C00520,Normal,Lifestyle
C00521,Normal,Shopping
C00522,Normal,Lifestyle
C00523,Dormant,Dining
C00524,Engaged,Lifestyle
C00525,Normal,Travel
C00526,Dormant,Grocery
C00527,Normal,Electronics
C00528,Dormant,Grocery
C00529,Normal,Lifestyle
C00530,Normal,Entertainment
C00531,Normal,Travel
C00532,Engaged,Grocery
C00533,Dormant,Fuel
C00534,Engaged,Grocery
C00535,Dormant,Shopping
C00536,Normal,Dining
C00537,Dormant,Grocery
C00538,Dormant,Dining
C00539,Normal,Fuel
C00540,Dormant,Grocery
C00541,Normal,Healthcare
C00542,Normal,Fuel
C00543,Normal,Fuel
C00544,Engaged,Fuel
C00545,Engaged,Grocery
C00546,Normal,Travel
C00547,Normal,Entertainment
C00548,Engaged,Healthcare
C00549,Normal,Dining
C00550,Normal,Lifestyle
C00551,Normal,Entertainment
C00552,Dormant,Grocery
C00553,Dormant,Grocery
C00554,Dormant,Lifestyle
C00555,Normal,Grocery
C00556,Engaged,Healthcare
C00557,Dormant,Fuel
C00558,Engaged,Travel
C00559,Engaged,Grocery
C00560,Normal,Travel
C00561,Normal,Travel
C00562,Normal,Travel
C00563,Engaged,Fuel
C00564,Normal,Dining
C00565,Engaged,Electronics
C00566,Normal,Grocery
C00567,Normal,Travel
C00568,Normal,Fuel
C00569,Normal,Lifestyle
C00570,Engaged,Lifestyle
C00571,Engaged,Travel
C00572,Engaged,Grocery
C00573,Normal,Fuel
C00574,Dormant,Shopping
C00575,Normal,Grocery
C00576,Normal,Lifestyle
C00577,Dormant,Grocery
C00578,Normal,Lifestyle
C00579,Engaged,Healthcare
C00580,Normal,Healthcare
C00581,Normal,Healthcare
C00582,Normal,Healthcare
C00583,Normal,Fuel
C00584,Normal,Lifestyle
C00585,Normal,Lifestyle
C00586,Normal,Grocery
C00587,Engaged,Electronics
C00588,Dormant,Healthcare
C00589,Normal,Travel
C00590,Engaged,Dining
C00591,Engaged,Lifestyle
C00592,Engaged,Entertainment
C00593,Engaged,Electronics
C00594,Engaged,Entertainment
C00595,Engaged,Entertainment
C00596,Dormant,Dining
C00597,Dormant,Fuel
C00598,Normal,Dining
C00599,Normal,Shopping
C00600,Normal,Dining
C00601,Normal,Healthcare
C00602,Dormant,Fuel
C00603,Normal,Electronics
C00604,Normal,Dining
C00605,Dormant,Dining
C00606,Normal,Shopping
C00607,Engaged,Healthcare
C00608,Engaged,Healthcare
C00609,Normal,Entertainment
C00610,Engaged,Grocery
C00611,Engaged,Electronics
C00612,Engaged,Electronics
C00613,Normal,Electronics
C00614,Dormant,Dining
C00615,Normal,Shopping
C00616,Engaged,Healthcare
C00617,Normal,Shopping
C00618,Normal,Travel
C00619,Normal,Grocery
C00620,Normal,Fuel
C00621,Engaged,Entertainment
C00622,Normal,Entertainment
C00623,Engaged,Electronics
C00624,Normal,Lifestyle
C00625,Dormant,Electronics
C00626,Dormant,Lifestyle
C00627,Engaged,Dining
C00628,Normal,Healthcare
C00629,Normal,Shopping
C00630,Dormant,Electronics
C00631,Normal,Dining
C00632,Normal,Entertainment
C00633,Engaged,Dining
C00634,Engaged,Grocery
C00635,Normal,Travel
C00636,Normal,Travel
C00637,Engaged,Dining
C00638,Dormant,Fuel
C00639,Normal,Lifestyle
C00640,Dormant,Lifestyle
C00641,Normal,Dining
C00642,Dormant,Lifestyle
C00643,Normal,Grocery
C00644,Engaged,Fuel
C00645,Engaged,Lifestyle
C00646,Dormant,Fuel
C00647,Engaged,Travel
C00648,Normal,Fuel
C00649,Normal,Travel
C00650,Engaged,Entertainment
C00651,Engaged,Travel
C00652,Normal,Fuel
C00653,Normal,Shopping
C00654,Normal,Grocery
C00655,Engaged,Healthcare
C00656,Normal,Dining
C00657,Engaged,Grocery
C00658,Normal,Dining
C00659,Engaged,Lifestyle
C00660,Engaged,Fuel
C00661,Dormant,Healthcare
C00662,Engaged,Electronics
C00663,Normal,Fuel
C00664,Normal,Fuel
C00665,Engaged,Fuel
C00666,Normal,Entertainment
C00667,Dormant,Shopping
C00668,Normal,Grocery
C00669,Engaged,Entertainment
C00670,Normal,Healthcare
C00671,Normal,Entertainment
C00672,Normal,Fuel
C00673,Dormant,Fuel
C00674,Normal,Electronics
C00675,Normal,Travel
C00676,Normal,Fuel
C00677,Dormant,Fuel
C00678,Normal,Grocery
C00679,Engaged,Travel
C00680,Dormant,Entertainment
C00681,Dormant,Electronics
C00682,Normal,Lifestyle
C00683,Normal,Shopping
C00684,Normal,Lifestyle
C00685,Dormant,Grocery
C00686,Normal,Electronics
C00687,Normal,Fuel
C00688,Normal,Lifestyle
C00689,Normal,Fuel
C00690,Engaged,Travel
C00691,Normal,Dining
C00692,Engaged,Grocery
C00693,Normal,Grocery
C00694,Dormant,Travel
C00695,Normal,Healthcare
C00696,Normal,Fuel
C00697,Dormant,Grocery
C00698,Engaged,Entertainment
C00699,Dormant,Grocery
C00700,Engaged,Electronics
C00701,Normal,Lifestyle
C00702,Normal,Electronics
C00703,Normal,Lifestyle
C00704,Normal,Healthcare
C00705,Engaged,Shopping
C00706,Normal,Grocery
C00707,Engaged,Travel
C00708,Normal,Lifestyle
C00709,Normal,Lifestyle
C00710,Normal,Healthcare
C00711,Engaged,Electronics
C00712,Normal,Healthcare
C00713,Normal,Healthcare
C00714,Normal,Fuel
C00715,Normal,Fuel
C00716,Engaged,Entertainment
C00717,Engaged,Shopping
C00718,Normal,Electronics
C00719,Engaged,Electronics
C00720,Engaged,Lifestyle
C00721,Normal,Healthcare
C00722,Normal,Dining
C00723,Engaged,Shopping
C00724,Engaged,Fuel
C00725,Normal,Grocery
C00726,Normal,Shopping
C00727,Normal,Lifestyle
C00728,Normal,Fuel
C00729,Normal,Shopping
C00730,Dormant,Healthcare
C00731,Normal,Shopping
C00732,Engaged,Dining
C00733,Normal,Fuel
C00734,Engaged,Shopping
C00735,Normal,Grocery
C00736,Dormant,Electronics
C00737,Normal,Entertainment
C00738,Engaged,Shopping
C00739,Normal,Entertainment
C00740,Dormant,Travel
C00741,Engaged,Travel
C00742,Normal,Grocery
C00743,Dormant,Healthcare
C00744,Normal,Entertainment
C00745,Normal,Dining
C00746,Normal,Lifestyle
C00747,Normal,Fuel
C00748,Normal,Electronics
C00749,Engaged,Lifestyle
C00750,Normal,Lifestyle
C00751,Dormant,Travel
C00752,Normal,Travel
C00753,Normal,Grocery
C00754,Engaged,Electronics
C00755,Engaged,Healthcare
C00756,Normal,Entertainment
C00757,Engaged,Travel
C00758,Normal,Electronics
C00759,Normal,Electronics
C00760,Dormant,Entertainment
C00761,Normal,Grocery
C00762,Normal,Travel
C00763,Normal,Healthcare
C00764,Normal,Dining
C00765,Engaged,Healthcare
C00766,Dormant,Healthcare
C00767,Normal,Electronics
C00768,Engaged,Healthcare
C00769,Normal,Lifestyle
C00770,Normal,Travel
C00771,Normal,Entertainment
C00772,Dormant,Grocery
C00773,Normal,Lifestyle
C00774,Engaged,Electronics
C00775,Normal,Grocery
C00776,Engaged,Grocery
C00777,Normal,Travel
C00778,Engaged,Fuel
C00779,Normal,Shopping
C00780,Normal,Healthcare
C00781,Normal,Healthcare
C00782,Engaged,Grocery
C00783,Engaged,Dining
C00784,Dormant,Electronics
C00785,Normal,Entertainment
C00786,Normal,Grocery
C00787,Normal,Shopping
C00788,Dormant,Electronics
C00789,Normal,Travel
C00790,Dormant,Travel
C00791,Engaged,Travel
C00792,Dormant,Lifestyle
C00793,Engaged,Dining
C00794,Normal,Fuel
C00795,Engaged,Shopping
C00796,Dormant,Healthcare
C00797,Dormant,Shopping
C00798,Normal,Lifestyle
C00799,Normal,Lifestyle
C00800,Normal,Grocery
C00801,Engaged,Shopping
C00802,Normal,Grocery
C00803,Engaged,Electronics
C00804,Dormant,Dining
C00805,Dormant,Healthcare
C00806,Engaged,Shopping
C00807,Normal,Healthcare
C00808,Dormant,Grocery
C00809,Dormant,Healthcare
C00810,Normal,Dining
C00811,Engaged,Dining
C00812,Engaged,Travel
C00813,Normal,Healthcare
C00814,Normal,Lifestyle
C00815,Normal,Lifestyle
C00816,Normal,Fuel
C00817,Normal,Fuel
C00818,Engaged,Shopping
C00819,Normal,Healthcare
C00820,Dormant,Fuel
C00821,Normal,Entertainment
C00822,Engaged,Grocery
C00823,Dormant,Shopping
C00824,Normal,Entertainment
C00825,Normal,Grocery
C00826,Dormant,Healthcare
C00827,Normal,Travel
C00828,Dormant,Entertainment
C00829,Dormant,Travel
C00830,Normal,Dining
C00831,Normal,Grocery
C00832,Normal,Entertainment
C00833,Normal,Fuel
C00834,Normal,Dining
C00835,Normal,Lifestyle
C00836,Dormant,Healthcare
C00837,Normal,Lifestyle
C00838,Normal,Travel
C00839,Normal,Dining
C00840,Normal,Travel
C00841,Engaged,Dining
C00842,Normal,Entertainment
C00843,Normal,Grocery
C00844,Engaged,Travel
C00845,Normal,Shopping
C00846,Normal,Entertainment
C00847,Normal,Fuel
C00848,Dormant,Entertainment
C00849,Normal,Grocery
C00850,Normal,Lifestyle
C00851,Normal,Fuel
C00852,Engaged,Dining
C00853,Normal,Healthcare
C00854,Engaged,Grocery
C00855,Engaged,Entertainment
C00856,Normal,Electronics
C00857,Engaged,Lifestyle
C00858,Dormant,Travel
C00859,Normal,Healthcare
C00860,Normal,Grocery
C00861,Dormant,Grocery
C00862,Normal,Healthcare
C00863,Normal,Fuel
C00864,Normal,Healthcare
C00865,Dormant,Grocery
C00866,Engaged,Lifestyle
C00867,Engaged,Entertainment
C00868,Dormant,Electronics
C00869,Engaged,Entertainment
C00870,Normal,Shopping
C00871,Normal,Shopping
C00872,Normal,Lifestyle
C00873,Normal,Healthcare
C00874,Dormant,Fuel
C00875,Engaged,Healthcare
C00876,Normal,Grocery
C00877,Normal,Dining
C00878,Normal,Electronics
C00879,Dormant,Travel
C00880,Normal,Healthcare
C00881,Engaged,Entertainment
C00882,Dormant,Lifestyle
C00883,Dormant,Entertainment
C00884,Engaged,Dining
C00885,Normal,Electronics
C00886,Engaged,Electronics
C00887,Engaged,Fuel
C00888,Normal,Travel
C00889,Dormant,Healthcare
C00890,Engaged,Healthcare
C00891,Engaged,Fuel
C00892,Normal,Electronics
C00893,Normal,Fuel
C00894,Engaged,Travel
C00895,Engaged,Grocery
C00896,Normal,Healthcare
C00897,Normal,Lifestyle
C00898,Normal,Entertainment
C00899,Engaged,Travel
C00900,Normal,Entertainment
C00901,Normal,Electronics
C00902,Normal,Lifestyle
C00903,Engaged,Travel
C00904,Normal,Grocery
C00905,Normal,Entertainment
C00906,Engaged,Grocery
C00907,Dormant,Dining
C00908,Normal,Dining
C00909,Normal,Grocery
C00910,Engaged,Travel
C00911,Normal,Grocery
C00912,Normal,Dining
C00913,Dormant,Healthcare
C00914,Normal,Fuel
C00915,Normal,Entertainment
C00916,Normal,Shopping
C00917,Normal,Shopping
C00918,Dormant,Entertainment
C00919,Normal,Grocery
C00920,Normal,Electronics
C00921,Dormant,Lifestyle
C00922,Dormant,Travel
C00923,Engaged,Healthcare
C00924,Engaged,Grocery
C00925,Normal,Fuel
C00926,Dormant,Lifestyle
C00927,Normal,Electronics
C00928,Normal,Travel
C00929,Normal,Travel
C00930,Engaged,Grocery
C00931,Engaged,Electronics
C00932,Engaged,Dining
C00933,Engaged,Grocery
C00934,Normal,Entertainment
C00935,Normal,Lifestyle
C00936,Engaged,Electronics
C00937,Normal,Lifestyle
C00938,Normal,Dining
C00939,Normal,Electronics
C00940,Normal,Shopping
C00941,Engaged,Entertainment
C00942,Normal,Healthcare
C00943,Engaged,Healthcare
C00944,Engaged,Fuel
C00945,Engaged,Fuel
C00946,Normal,Electronics
C00947,Engaged,Healthcare
C00948,Normal,Grocery
C00949,Engaged,Dining
C00950,Engaged,Travel
C00951,Dormant,Electronics
C00952,Normal,Electronics
C00953,Engaged,Lifestyle
C00954,Normal,Entertainment
C00955,Engaged,Shopping
C00956,Normal,Travel
C00957,Engaged,Healthcare
C00958,Normal,Lifestyle
C00959,Dormant,Dining
C00960,Engaged,Entertainment
C00961,Engaged,Shopping
C00962,Normal,Electronics
C00963,Dormant,Electronics
C00964,Normal,Travel
C00965,Normal,Lifestyle
C00966,Engaged,Travel
C00967,Normal,Healthcare
C00968,Normal,Electronics
C00969,Normal,Travel
C00970,Engaged,Electronics
C00971,Normal,Fuel
C00972,Engaged,Fuel
C00973,Normal,Dining
C00974,Normal,Electronics
C00975,Dormant,Healthcare
C00976,Dormant,Entertainment
C00977,Normal,Electronics
C00978,Normal,Shopping
C00979,Engaged,Grocery
C00980,Dormant,Healthcare
C00981,Normal,Shopping
C00982,Normal,Grocery
C00983,Normal,Travel
C00984,Normal,Entertainment
C00985,Dormant,Healthcare
C00986,Dormant,Electronics
C00987,Normal,Fuel
C00988,Normal,Entertainment
C00989,Dormant,Grocery
C00990,Normal,Lifestyle
C00991,Normal,Healthcare
C00992,Normal,Healthcare
C00993,Normal,Electronics
C00994,Normal,Shopping
C00995,Normal,Shopping
C00996,Dormant,Entertainment
C00997,Dormant,Shopping
C00998,Normal,Lifestyle
C00999,Engaged,Healthcare
C01000,Normal,Lifestyle
C01001,Normal,Grocery
C01002,Normal,Travel
C01003,Dormant,Travel
C01004,Engaged,Fuel
C01005,Normal,Grocery
C01006,Dormant,Shopping
C01007,Dormant,Grocery
C01008,Normal,Healthcare
C01009,Engaged,Shopping
C01010,Normal,Lifestyle
C01011,Normal,Entertainment
C01012,Normal,Healthcare
C01013,Normal,Dining
C01014,Normal,Fuel
C01015,Normal,Lifestyle
C01016,Normal,Healthcare
C01017,Normal,Grocery
