dataset,defect_type,record_key,detail
transactions,missing_value,T00018742,city set null
transactions,missing_value,T00021741,city set null
transactions,missing_value,T00014690,city set null
transactions,missing_value,T00011049,city set null
transactions,missing_value,T00005379,city set null
transactions,missing_value,T00015216,city set null
transactions,missing_value,T00002685,city set null
transactions,missing_value,T00021294,city set null
transactions,missing_value,T00001821,city set null
transactions,missing_value,T00013759,city set null
transactions,missing_value,T00009111,city set null
transactions,missing_value,T00017776,city set null
transactions,missing_value,T00016478,city set null
transactions,missing_value,T00011958,city set null
transactions,missing_value,T00009341,city set null
transactions,missing_value,T00007110,city set null
transactions,missing_value,T00008665,city set null
transactions,missing_value,T00005064,city set null
transactions,missing_value,T00018573,city set null
transactions,missing_value,T00021778,city set null
transactions,missing_value,T00020108,city set null
transactions,missing_value,T00002673,city set null
transactions,missing_value,T00001568,city set null
transactions,missing_value,T00017209,city set null
transactions,missing_value,T00006586,city set null
transactions,missing_value,T00011936,city set null
transactions,missing_value,T00014236,city set null
transactions,missing_value,T00009614,city set null
transactions,missing_value,T00018988,city set null
transactions,missing_value,T00015829,city set null
transactions,missing_value,T00007173,city set null
transactions,missing_value,T00012219,city set null
transactions,missing_value,T00021726,city set null
transactions,missing_value,T00021551,city set null
transactions,missing_value,T00001268,city set null
transactions,missing_value,T00000725,city set null
transactions,missing_value,T00013866,city set null
transactions,missing_value,T00021224,city set null
transactions,missing_value,T00004206,city set null
transactions,missing_value,T00013819,city set null
transactions,missing_value,T00008034,city set null
transactions,missing_value,T00015952,city set null
transactions,missing_value,T00014185,city set null
transactions,missing_value,T00007838,city set null
transactions,missing_value,T00003131,city set null
transactions,missing_value,T00005351,city set null
transactions,missing_value,T00013715,city set null
transactions,missing_value,T00005052,city set null
transactions,missing_value,T00003889,city set null
transactions,missing_value,T00013987,city set null
transactions,missing_value,T00016789,city set null
transactions,missing_value,T00005002,city set null
transactions,missing_value,T00009059,city set null
transactions,missing_value,T00013037,city set null
transactions,missing_value,T00016107,city set null
transactions,missing_value,T00013196,city set null
transactions,missing_value,T00016305,city set null
transactions,missing_value,T00000945,city set null
transactions,missing_value,T00011465,city set null
transactions,missing_value,T00010323,city set null
transactions,missing_value,T00018234,city set null
transactions,missing_value,T00016063,city set null
transactions,missing_value,T00002977,city set null
transactions,missing_value,T00017488,city set null
transactions,missing_value,T00020932,city set null
transactions,missing_value,T00014550,city set null
transactions,missing_value,T00006067,city set null
transactions,missing_value,T00016643,city set null
transactions,missing_value,T00016182,city set null
transactions,missing_value,T00012844,city set null
transactions,missing_value,T00015730,city set null
transactions,missing_value,T00002312,city set null
transactions,missing_value,T00004984,city set null
transactions,missing_value,T00014813,city set null
transactions,missing_value,T00006074,city set null
transactions,missing_value,T00021923,city set null
transactions,missing_value,T00017181,city set null
transactions,missing_value,T00001461,city set null
transactions,missing_value,T00006701,city set null
transactions,missing_value,T00005651,city set null
transactions,missing_value,T00018193,city set null
transactions,missing_value,T00008814,city set null
transactions,missing_value,T00013267,city set null
transactions,missing_value,T00017355,city set null
transactions,missing_value,T00009234,city set null
transactions,missing_value,T00003663,city set null
transactions,missing_value,T00000179,city set null
transactions,missing_value,T00003173,city set null
transactions,missing_value,T00001121,city set null
transactions,missing_value,T00012721,city set null
transactions,missing_value,T00001255,city set null
transactions,missing_value,T00012393,city set null
transactions,missing_value,T00013273,city set null
transactions,missing_value,T00012242,city set null
transactions,missing_value,T00007061,city set null
transactions,missing_value,T00019404,city set null
transactions,missing_value,T00008738,city set null
transactions,missing_value,T00002425,city set null
transactions,missing_value,T00001064,city set null
transactions,missing_value,T00008267,city set null
transactions,missing_value,T00004254,city set null
transactions,missing_value,T00000871,city set null
transactions,missing_value,T00010338,city set null
transactions,missing_value,T00021694,city set null
transactions,missing_value,T00011571,city set null
transactions,missing_value,T00014432,city set null
transactions,missing_value,T00011209,city set null
transactions,missing_value,T00003799,city set null
transactions,missing_value,T00004620,city set null
transactions,missing_value,T00003791,city set null
transactions,missing_value,T00014722,city set null
transactions,missing_value,T00015804,city set null
transactions,missing_value,T00001802,city set null
transactions,missing_value,T00005954,city set null
transactions,missing_value,T00002120,city set null
transactions,missing_value,T00016926,city set null
transactions,missing_value,T00021776,city set null
transactions,missing_value,T00015659,city set null
transactions,missing_value,T00003145,city set null
transactions,missing_value,T00009426,city set null
transactions,missing_value,T00007902,city set null
transactions,missing_value,T00011874,city set null
transactions,missing_value,T00008577,city set null
transactions,missing_value,T00020040,city set null
transactions,missing_value,T00005267,city set null
transactions,missing_value,T00020380,city set null
transactions,missing_value,T00010434,city set null
transactions,missing_value,T00019182,city set null
transactions,missing_value,T00008384,city set null
transactions,missing_value,T00014388,city set null
transactions,missing_value,T00010586,city set null
transactions,duplicate_row,T00021898,exact duplicate appended
transactions,duplicate_row,T00004877,exact duplicate appended
transactions,duplicate_row,T00004944,exact duplicate appended
transactions,duplicate_row,T00008888,exact duplicate appended
transactions,duplicate_row,T00011673,exact duplicate appended
transactions,duplicate_row,T00009153,exact duplicate appended
transactions,duplicate_row,T00005752,exact duplicate appended
transactions,duplicate_row,T00007522,exact duplicate appended
transactions,duplicate_row,T00008686,exact duplicate appended
transactions,duplicate_row,T00013656,exact duplicate appended
transactions,duplicate_row,T00021293,exact duplicate appended
transactions,duplicate_row,T00012075,exact duplicate appended
transactions,duplicate_row,T00016174,exact duplicate appended
transactions,duplicate_row,T00018876,exact duplicate appended
transactions,duplicate_row,T00018362,exact duplicate appended
transactions,duplicate_row,T00017481,exact duplicate appended
transactions,duplicate_row,T00018283,exact duplicate appended
transactions,duplicate_row,T00006151,exact duplicate appended
transactions,duplicate_row,T00020881,exact duplicate appended
transactions,duplicate_row,T00020243,exact duplicate appended
transactions,duplicate_row,T00003774,exact duplicate appended
transactions,duplicate_row,T00014857,exact duplicate appended
transactions,duplicate_row,T00007694,exact duplicate appended
transactions,duplicate_row,T00001936,exact duplicate appended
transactions,duplicate_row,T00020551,exact duplicate appended
transactions,duplicate_row,T00008008,exact duplicate appended
transactions,duplicate_row,T00005271,exact duplicate appended
transactions,duplicate_row,T00014939,exact duplicate appended
transactions,duplicate_row,T00015854,exact duplicate appended
transactions,duplicate_row,T00012028,exact duplicate appended
transactions,duplicate_row,T00003582,exact duplicate appended
transactions,duplicate_row,T00013409,exact duplicate appended
transactions,duplicate_row,T00014847,exact duplicate appended
transactions,duplicate_row,T00000284,exact duplicate appended
transactions,duplicate_row,T00013446,exact duplicate appended
transactions,duplicate_row,T00004660,exact duplicate appended
transactions,duplicate_row,T00014708,exact duplicate appended
transactions,duplicate_row,T00001980,exact duplicate appended
transactions,duplicate_row,T00011542,exact duplicate appended
transactions,duplicate_row,T00005511,exact duplicate appended
transactions,duplicate_row,T00010103,exact duplicate appended
transactions,duplicate_row,T00021869,exact duplicate appended
transactions,duplicate_row,T00001852,exact duplicate appended
transactions,duplicate_row,T00006320,exact duplicate appended
transactions,duplicate_row,T00017876,exact duplicate appended
transactions,duplicate_row,T00006091,exact duplicate appended
transactions,duplicate_row,T00019446,exact duplicate appended
transactions,duplicate_row,T00008792,exact duplicate appended
transactions,duplicate_row,T00010265,exact duplicate appended
transactions,duplicate_row,T00012437,exact duplicate appended
transactions,duplicate_row,T00012803,exact duplicate appended
transactions,duplicate_row,T00000272,exact duplicate appended
transactions,duplicate_row,T00007546,exact duplicate appended
transactions,duplicate_row,T00010276,exact duplicate appended
transactions,duplicate_row,T00004256,exact duplicate appended
transactions,duplicate_row,T00020912,exact duplicate appended
transactions,duplicate_row,T00017102,exact duplicate appended
transactions,duplicate_row,T00019670,exact duplicate appended
transactions,duplicate_row,T00001842,exact duplicate appended
transactions,duplicate_row,T00002299,exact duplicate appended
transactions,duplicate_row,T00006883,exact duplicate appended
transactions,duplicate_row,T00019284,exact duplicate appended
transactions,duplicate_row,T00003946,exact duplicate appended
transactions,duplicate_row,T00018818,exact duplicate appended
transactions,duplicate_row,T00017116,exact duplicate appended
transactions,duplicate_row,T00006811,exact duplicate appended
transactions,duplicate_row,T00018402,exact duplicate appended
transactions,duplicate_row,T00015408,exact duplicate appended
transactions,duplicate_row,T00020640,exact duplicate appended
transactions,duplicate_row,T00018741,exact duplicate appended
transactions,duplicate_row,T00018848,exact duplicate appended
transactions,duplicate_row,T00009543,exact duplicate appended
transactions,duplicate_row,T00011173,exact duplicate appended
transactions,duplicate_row,T00020467,exact duplicate appended
transactions,duplicate_row,T00009335,exact duplicate appended
transactions,duplicate_row,T00000321,exact duplicate appended
transactions,duplicate_row,T00007026,exact duplicate appended
transactions,duplicate_row,T00001976,exact duplicate appended
transactions,duplicate_row,T00006745,exact duplicate appended
transactions,duplicate_row,T00010423,exact duplicate appended
transactions,duplicate_row,T00001506,exact duplicate appended
transactions,duplicate_row,T00014647,exact duplicate appended
transactions,duplicate_row,T00001896,exact duplicate appended
transactions,duplicate_row,T00003551,exact duplicate appended
transactions,duplicate_row,T00009036,exact duplicate appended
transactions,duplicate_row,T00014986,exact duplicate appended
transactions,duplicate_row,T00015802,exact duplicate appended
transactions,duplicate_row,T00001660,exact duplicate appended
transactions,duplicate_row,T00000041,exact duplicate appended
transactions,duplicate_row,T00001042,exact duplicate appended
transactions,duplicate_row,T00002855,exact duplicate appended
transactions,duplicate_row,T00000977,exact duplicate appended
transactions,duplicate_row,T00016139,exact duplicate appended
transactions,duplicate_row,T00004961,exact duplicate appended
transactions,duplicate_row,T00003974,exact duplicate appended
transactions,duplicate_row,T00016449,exact duplicate appended
transactions,duplicate_row,T00018129,exact duplicate appended
transactions,duplicate_row,T00015304,exact duplicate appended
transactions,duplicate_row,T00014574,exact duplicate appended
transactions,duplicate_row,T00015390,exact duplicate appended
transactions,orphan_fk,T00001830,merchant_id=M9999
transactions,orphan_fk,T00003218,merchant_id=M9999
transactions,orphan_fk,T00008354,merchant_id=M9999
transactions,orphan_fk,T00007016,merchant_id=M9999
transactions,orphan_fk,T00011869,merchant_id=M9999
transactions,orphan_fk,T00010762,merchant_id=M9999
transactions,orphan_fk,T00018533,merchant_id=M9999
transactions,orphan_fk,T00013609,merchant_id=M9999
transactions,orphan_fk,T00015489,merchant_id=M9999
transactions,orphan_fk,T00004803,merchant_id=M9999
transactions,orphan_fk,T00017746,merchant_id=M9999
transactions,orphan_fk,T00015951,merchant_id=M9999
transactions,orphan_fk,T00020917,merchant_id=M9999
transactions,orphan_fk,T00010578,merchant_id=M9999
transactions,orphan_fk,T00018730,merchant_id=M9999
transactions,orphan_fk,T00012150,merchant_id=M9999
transactions,orphan_fk,T00007214,merchant_id=M9999
transactions,orphan_fk,T00016852,merchant_id=M9999
transactions,orphan_fk,T00002867,merchant_id=M9999
transactions,orphan_fk,T00006726,merchant_id=M9999
transactions,orphan_fk,T00014491,merchant_id=M9999
transactions,orphan_fk,T00015233,merchant_id=M9999
transactions,orphan_fk,T00013794,merchant_id=M9999
transactions,orphan_fk,T00016365,merchant_id=M9999
transactions,orphan_fk,T00019442,merchant_id=M9999
transactions,orphan_fk,T00003986,merchant_id=M9999
transactions,orphan_fk,T00019755,merchant_id=M9999
transactions,orphan_fk,T00011627,merchant_id=M9999
transactions,orphan_fk,T00012618,merchant_id=M9999
transactions,orphan_fk,T00006338,merchant_id=M9999
transactions,orphan_fk,T00018435,merchant_id=M9999
transactions,orphan_fk,T00008225,merchant_id=M9999
transactions,orphan_fk,T00019623,merchant_id=M9999
transactions,orphan_fk,T00021103,merchant_id=M9999
transactions,orphan_fk,T00008769,merchant_id=M9999
transactions,orphan_fk,T00005912,merchant_id=M9999
transactions,orphan_fk,T00021040,merchant_id=M9999
transactions,orphan_fk,T00009953,merchant_id=M9999
transactions,orphan_fk,T00021739,merchant_id=M9999
transactions,orphan_fk,T00018081,merchant_id=M9999
transactions,orphan_fk,T00008740,merchant_id=M9999
transactions,orphan_fk,T00014249,merchant_id=M9999
transactions,orphan_fk,T00012499,merchant_id=M9999
transactions,orphan_fk,T00003254,merchant_id=M9999
transactions,orphan_fk,T00019083,merchant_id=M9999
transactions,orphan_fk,T00002078,merchant_id=M9999
transactions,orphan_fk,T00009150,merchant_id=M9999
transactions,orphan_fk,T00011588,merchant_id=M9999
transactions,orphan_fk,T00015921,merchant_id=M9999
transactions,orphan_fk,T00007461,merchant_id=M9999
transactions,orphan_fk,T00000475,merchant_id=M9999
transactions,orphan_fk,T00021591,merchant_id=M9999
transactions,orphan_fk,T00003138,merchant_id=M9999
transactions,orphan_fk,T00003738,merchant_id=M9999
transactions,orphan_fk,T00010993,merchant_id=M9999
transactions,orphan_fk,T00007495,merchant_id=M9999
transactions,orphan_fk,T00013455,merchant_id=M9999
transactions,orphan_fk,T00005274,merchant_id=M9999
transactions,orphan_fk,T00013126,merchant_id=M9999
transactions,orphan_fk,T00007072,merchant_id=M9999
transactions,orphan_fk,T00012943,campaign_id=CMP999
transactions,orphan_fk,T00018235,campaign_id=CMP999
transactions,orphan_fk,T00006809,campaign_id=CMP999
transactions,orphan_fk,T00002099,campaign_id=CMP999
transactions,orphan_fk,T00017029,campaign_id=CMP999
transactions,orphan_fk,T00013754,campaign_id=CMP999
transactions,orphan_fk,T00004594,campaign_id=CMP999
transactions,orphan_fk,T00009243,campaign_id=CMP999
transactions,orphan_fk,T00014535,campaign_id=CMP999
transactions,orphan_fk,T00015191,campaign_id=CMP999
transactions,orphan_fk,T00011662,campaign_id=CMP999
transactions,orphan_fk,T00016629,campaign_id=CMP999
transactions,orphan_fk,T00017643,campaign_id=CMP999
transactions,orphan_fk,T00000014,campaign_id=CMP999
transactions,orphan_fk,T00011697,campaign_id=CMP999
transactions,orphan_fk,T00013894,campaign_id=CMP999
transactions,orphan_fk,T00015893,campaign_id=CMP999
transactions,orphan_fk,T00002315,campaign_id=CMP999
transactions,orphan_fk,T00013461,campaign_id=CMP999
transactions,orphan_fk,T00000319,campaign_id=CMP999
transactions,orphan_fk,T00006803,campaign_id=CMP999
transactions,orphan_fk,T00008317,campaign_id=CMP999
transactions,orphan_fk,T00016187,campaign_id=CMP999
transactions,orphan_fk,T00018019,campaign_id=CMP999
transactions,orphan_fk,T00002855,campaign_id=CMP999
transactions,orphan_fk,T00015623,campaign_id=CMP999
transactions,orphan_fk,T00021024,campaign_id=CMP999
transactions,orphan_fk,T00017077,campaign_id=CMP999
transactions,orphan_fk,T00000456,campaign_id=CMP999
transactions,orphan_fk,T00004733,campaign_id=CMP999
transactions,orphan_fk,T00003319,campaign_id=CMP999
transactions,orphan_fk,T00013304,campaign_id=CMP999
transactions,orphan_fk,T00004817,campaign_id=CMP999
transactions,orphan_fk,T00006020,campaign_id=CMP999
transactions,orphan_fk,T00020053,campaign_id=CMP999
transactions,orphan_fk,T00004814,campaign_id=CMP999
transactions,orphan_fk,T00021034,campaign_id=CMP999
transactions,orphan_fk,T00014834,campaign_id=CMP999
transactions,orphan_fk,T00004990,campaign_id=CMP999
transactions,orphan_fk,T00014857,campaign_id=CMP999
transactions,orphan_fk,T00010752,campaign_id=CMP999
transactions,orphan_fk,T00007570,campaign_id=CMP999
transactions,orphan_fk,T00020273,campaign_id=CMP999
transactions,orphan_fk,T00019428,campaign_id=CMP999
transactions,orphan_fk,T00000103,campaign_id=CMP999
transactions,orphan_fk,T00008222,campaign_id=CMP999
transactions,orphan_fk,T00021359,campaign_id=CMP999
transactions,orphan_fk,T00001313,campaign_id=CMP999
